1.1058 200
1.1099 196
1.11399 192
1.11809 184
1.12219 180
1.12628 172
1.13038 168
1.13447 160
1.13857 152
1.14267 148
1.14676 140
1.15086 136
1.15411 132
1.1623 128
1.1705 124
1.17869 120
1.18688 116
1.19507 112
1.20326 108
1.21146 104
1.21965 100
1.22784 96
1.23603 92
1.24422 88
1.25242 84
1.25651 76
1.26061 72
1.2647 64
1.2688 60
1.2729 52
1.27699 48
1.28109 40
1.28518 36
1.3753 38
1.49408 34
1.54733 36
1.70467 56
1.70877 48
1.71286 44
1.71696 36
1.72106 32
1.79069 26
1.79888 28
1.84803 30
1.94224 24
1.95043 26
1.99958 28
2.09379 24
2.13475 26
2.30438 52
2.30848 44
2.31258 40
2.31667 32
2.32077 28
2.36992 18
2.38221 20
2.42317 22
2.53376 18
2.54195 20
2.5911 22
2.67712 18
2.6935 20
2.74266 22
2.9041 54
2.90819 46
2.91229 42
2.91638 34
2.92048 30
2.92458 22
2.92867 18
